epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2117.55,1.46765,3.80044,1.52793,0.27544,0.41572,0.27209,0.1679,1.30212,2.84645,1.3611,0.000157491,0.000157491,0.000157491
2,2991.02,1.29671,2.55054,1.34078,0.41548,0.56415,0.41925,0.27317,1.20838,2.22634,1.29197,0.00015966,0.00015966,0.00015966
