epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,843.298,1.46765,3.80044,1.52793,0.27544,0.41572,0.27209,0.1679,1.30212,2.84645,1.3611,0.000157491,0.000157491,0.000157491
2,1702.29,1.30866,2.4638,1.34703,0.40315,0.59854,0.44497,0.28852,1.18645,2.11927,1.27953,0.000309898,0.000309898,0.000309898
